date,Actual,Predicted
1995-01,1.6,0.9
1995-02,3.4,2.9
1995-03,1.5,2.9
1995-04,4.3,6.6
1995-05,6.4,6.3
1995-06,9.5,10.0
1995-07,12.8,12.2
1995-08,12.4,12.4
1995-09,9.4,8.9
1995-10,8.6,8.3
1995-11,4.5,3.5
1995-12,-0.6,-1.7
1996-01,2.0,-0.6
1996-02,-0.5,-0.7
1996-03,1.3,0.8
1996-04,3.6,5.1
1996-05,4.5,6.1
1996-06,8.1,10.6
1996-07,11.0,12.2
1996-08,11.8,11.4
1996-09,9.3,9.1
1996-10,8.0,6.9
1996-11,2.5,3.4
1996-12,0.1,-0.8
1997-01,-1.4,-0.7
1997-02,4.0,4.8
1997-03,4.4,4.4
1997-04,4.4,6.6
1997-05,5.6,7.9
1997-06,10.1,9.1
1997-07,12.0,10.8
1997-08,13.7,12.6
1997-09,9.9,9.3
1997-10,5.5,6.5
1997-11,5.5,3.8
1997-12,3.5,1.7
1998-01,2.6,2.0
1998-02,4.1,3.2
1998-03,4.5,3.8
1998-04,4.1,3.9
1998-05,7.6,9.7
1998-06,10.5,7.7
1998-07,11.6,9.8
1998-08,11.4,9.6
1998-09,11.2,7.7
1998-10,7.8,6.5
1998-11,2.7,2.8
1998-12,2.3,2.1
1999-01,2.5,3.0
1999-02,2.2,2.0
1999-03,4.5,3.6
1999-04,5.2,6.1
1999-05,8.7,9.6
1999-06,9.3,7.7
1999-07,12.5,11.0
1999-08,11.5,11.1
1999-09,11.3,10.2
1999-10,7.0,6.9
1999-11,5.2,4.5
1999-12,1.9,2.0
2000-01,1.7,3.4
2000-02,2.7,3.0
2000-03,3.2,4.1
2000-04,3.8,4.0
2000-05,7.4,8.1
2000-06,10.8,9.5
2000-07,10.6,9.7
2000-08,11.6,10.7
2000-09,11.1,8.9
2000-10,7.3,6.1
2000-11,4.2,3.0
2000-12,3.0,2.0
2001-01,-0.1,-0.6
2001-02,0.6,2.7
2001-03,1.7,1.8
2001-04,3.8,4.0
2001-05,7.1,9.6
2001-06,9.3,8.9
2001-07,12.5,10.8
2001-08,12.5,10.0
2001-09,9.9,8.3
2001-10,10.5,8.3
2001-11,3.5,3.2
2001-12,0.0,1.1
2002-01,1.9,3.0
2002-02,3.8,2.8
2002-03,3.3,4.1
2002-04,4.3,6.5
2002-05,7.8,8.1
2002-06,10.1,9.5
2002-07,11.5,10.8
2002-08,12.7,10.0
2002-09,9.7,8.8
2002-10,5.9,4.8
2002-11,5.7,3.2
2002-12,3.6,1.1
2003-01,2.0,1.8
2003-02,-0.3,1.4
2003-03,1.6,4.5
2003-04,4.3,5.9
2003-05,7.9,6.3
2003-06,11.1,11.5
2003-07,13.0,12.3
2003-08,12.7,11.1
2003-09,8.6,10.2
2003-10,4.8,6.6
2003-11,4.5,3.5
2003-12,0.9,2.6
2004-01,2.5,2.0
2004-02,2.9,1.7
2004-03,3.1,3.5
2004-04,5.4,5.8
2004-05,7.1,10.0
2004-06,11.0,10.6
2004-07,11.3,10.2
2004-08,13.2,10.8
2004-09,10.9,9.7
2004-10,7.3,6.5
2004-11,4.8,3.9
2004-12,2.3,2.1
2005-01,3.2,2.9
2005-02,1.7,1.2
2005-03,3.9,3.5
2005-04,4.5,6.6
2005-05,6.6,7.1
2005-06,10.4,10.8
2005-07,12.4,11.5
2005-08,11.3,11.4
2005-09,10.7,9.8
2005-10,10.4,6.8
2005-11,2.6,3.1
2005-12,1.8,0.9
2006-01,2.4,0.8
2006-02,1.4,1.1
2006-03,2.2,1.7
2006-04,5.3,4.7
2006-05,7.7,6.8
2006-06,11.4,10.8
2006-07,14.1,12.4
2006-08,12.4,10.7
2006-09,12.9,10.8
2006-10,10.0,7.8
2006-11,5.1,4.0
2006-12,4.7,2.7
2007-01,4.9,4.8
2007-02,3.0,2.7
2007-03,3.7,3.9
2007-04,6.1,8.0
2007-05,7.6,7.1
2007-06,10.9,9.7
2007-07,12.0,10.7
2007-08,11.8,10.8
2007-09,10.6,8.9
2007-10,7.8,6.5
2007-11,4.1,3.2
2007-12,2.4,2.0
2008-01,3.8,3.0
2008-02,0.6,3.3
2008-03,2.7,2.8
2008-04,3.9,4.4
2008-05,8.1,8.9
2008-06,9.5,10.0
2008-07,11.8,10.0
2008-08,13.2,10.8
2008-09,9.9,9.1
2008-10,6.9,6.1
2008-11,5.0,2.5
2008-12,1.2,1.1
2009-01,0.6,0.5
2009-02,1.6,0.8
2009-03,3.1,3.5
2009-04,5.5,6.9
2009-05,7.7,9.7
2009-06,10.2,10.6
2009-07,12.5,11.5
2009-08,13.0,10.8
2009-09,10.1,9.7
2009-10,8.1,8.6
2009-11,6.2,4.4
2009-12,0.5,0.5
2010-01,-0.4,-1.4
2010-02,0.4,-0.7
2010-03,2.4,3.5
2010-04,4.0,5.3
2010-05,6.2,6.6
2010-06,10.0,10.4
2010-07,12.8,10.8
2010-08,11.3,10.6
2010-09,10.0,7.7
2010-10,6.9,6.5
2010-11,2.5,2.7
2010-12,-4.0,-3.4
2011-01,1.4,0.8
2011-02,4.4,3.3
2011-03,2.4,3.8
2011-04,6.3,9.7
2011-05,7.8,9.5
