date,Actual,Predicted
1995-01,7.5,7.3
1995-02,9.5,11.4
1995-03,9.5,7.2
1995-04,13.5,13.0
1995-05,16.9,14.8
1995-06,19.1,18.7
1995-07,24.9,24.3
1995-08,25.3,23.4
1995-09,17.7,19.4
1995-10,16.6,17.2
1995-11,10.4,11.1
1995-12,4.4,5.0
1996-01,5.6,9.4
1996-02,5.5,4.7
1996-03,6.8,7.1
1996-04,13.0,10.5
1996-05,13.8,11.1
1996-06,20.2,18.9
1996-07,22.2,20.1
1996-08,22.1,21.5
1996-09,17.9,19.8
1996-10,15.2,17.4
1996-11,8.8,9.3
1996-12,5.4,6.0
1997-01,5.5,4.4
1997-02,10.1,9.8
1997-03,12.3,11.4
1997-04,13.5,11.4
1997-05,16.5,15.8
1997-06,18.0,20.8
1997-07,21.5,21.6
1997-08,24.5,24.2
1997-09,18.3,18.1
1997-10,13.9,11.9
1997-11,11.3,11.9
1997-12,8.4,10.3
1998-01,7.7,9.0
1998-02,11.0,10.1
1998-03,11.3,11.1
1998-04,11.4,10.1
1998-05,17.2,14.9
1998-06,18.4,21.6
1998-07,19.7,20.7
1998-08,20.9,20.8
1998-09,18.4,20.0
1998-10,13.9,16.8
1998-11,8.6,8.7
1998-12,8.7,8.5
1999-01,8.5,9.3
1999-02,8.2,10.1
1999-03,10.9,11.1
1999-04,13.8,13.6
1999-05,17.4,17.5
1999-06,18.4,19.8
1999-07,22.9,23.6
1999-08,20.7,20.9
1999-09,20.5,20.7
1999-10,14.5,14.7
1999-11,10.6,13.6
1999-12,7.7,7.9
2000-01,8.8,8.0
2000-02,9.7,8.7
2000-03,11.5,9.9
2000-04,11.9,10.8
2000-05,16.2,17.7
2000-06,19.2,21.3
2000-07,19.5,21.8
2000-08,21.6,20.7
2000-09,18.8,20.5
2000-10,13.8,15.4
2000-11,9.9,11.2
2000-12,7.7,9.0
2001-01,5.6,6.3
2001-02,8.0,8.0
2001-03,8.3,8.0
2001-04,11.6,10.8
2001-05,17.4,15.1
2001-06,18.8,19.8
2001-07,21.9,23.6
2001-08,21.8,23.6
2001-09,16.8,18.1
2001-10,16.6,21.6
2001-11,11.0,10.3
2001-12,6.6,6.1
2002-01,8.5,7.9
2002-02,10.2,10.8
2002-03,11.5,11.6
2002-04,14.2,13.0
2002-05,16.2,16.8
2002-06,19.2,20.8
2002-07,20.8,20.9
2002-08,21.8,23.7
2002-09,18.6,19.4
2002-10,13.4,14.7
2002-11,11.0,14.8
2002-12,7.2,10.5
2003-01,7.1,9.4
2003-02,7.4,5.3
2003-03,12.4,7.3
2003-04,14.8,13.0
2003-05,16.9,18.4
2003-06,21.3,20.5
2003-07,22.3,24.2
2003-08,23.7,23.7
2003-09,20.4,17.2
2003-10,13.5,11.0
2003-11,11.2,11.1
2003-12,7.8,7.2
2004-01,8.2,9.3
2004-02,8.4,9.2
2004-03,10.4,9.7
2004-04,14.0,14.7
2004-05,17.1,15.1
2004-06,20.2,20.1
2004-07,20.5,20.7
2004-08,22.0,24.2
2004-09,18.9,20.0
2004-10,13.9,15.4
2004-11,10.5,11.0
2004-12,8.7,8.5
2005-01,9.0,9.9
2005-02,7.0,8.0
2005-03,10.4,10.3
2005-04,13.6,11.1
